feature_name,date_code,measure,response,percent,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity,walking_distance_to_nearest_greenspace
West Dunbartonshire,2013,community_belonging,Not at all strongly,10,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2013,community_belonging,Not at all strongly,4,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2019,community_belonging,Not at all strongly,6,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2013,community_belonging,Fairly strongly,38,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2015,community_belonging,Not at all strongly,7,All,All,All,All,All,All,More than 10 minutes
Scotland,2015,community_belonging,Not at all strongly,8,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2019,community_belonging,Not very strongly,7,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2013,community_belonging,Very strongly,47,All,All,All,All,All,All,More than 10 minutes
Highland,2013,community_belonging,Very strongly,46,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2015,community_belonging,Not at all strongly,1,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2017,community_belonging,Not very strongly,21,All,All,All,All,All,All,More than 10 minutes
West Lothian,2017,community_belonging,Not very strongly,14,All,All,All,All,All,All,More than 10 minutes
Scotland,2016,community_belonging,Not very strongly,17,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2019,community_belonging,Not at all strongly,6,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2017,community_belonging,Not very strongly,29,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2016,community_belonging,Not very strongly,29,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2015,community_belonging,Not at all strongly,1,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2017,community_belonging,Not very strongly,19,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2016,community_belonging,Very strongly,30,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2017,community_belonging,Very strongly,38,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2016,community_belonging,Not at all strongly,7,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2017,community_belonging,Very strongly,50,All,All,All,All,All,All,More than 10 minutes
Dundee City,2017,community_belonging,Not very strongly,25,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2017,community_belonging,Not very strongly,10,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2015,community_belonging,Very strongly,21,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2019,community_belonging,Very strongly,36,All,All,All,All,All,All,More than 10 minutes
Scotland,2013,community_belonging,Very strongly,36,All,All,All,All,All,All,More than 10 minutes
West Lothian,2017,community_belonging,Not at all strongly,1,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2013,community_belonging,Very strongly,38,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2013,community_belonging,Very strongly,26,All,All,All,All,All,All,More than 10 minutes
Dundee City,2017,community_belonging,Very strongly,20,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2017,community_belonging,Not at all strongly,7,All,All,All,All,All,All,More than 10 minutes
Falkirk,2018,community_belonging,Not at all strongly,10,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2013,community_belonging,Very strongly,42,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2015,community_belonging,Very strongly,40,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2019,community_belonging,Not at all strongly,3,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2013,community_belonging,Very strongly,28,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2019,community_belonging,Very strongly,47,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2013,community_belonging,Very strongly,34,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2019,community_belonging,Very strongly,51,All,All,All,All,All,All,More than 10 minutes
East Renfrewshire,2017,community_belonging,Not at all strongly,3,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2017,community_belonging,Very strongly,28,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2014,community_belonging,Very strongly,40,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2018,community_belonging,Very strongly,24,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2015,community_belonging,Not very strongly,8,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2015,community_belonging,Not very strongly,24,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2019,community_belonging,Not very strongly,15,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2019,community_belonging,Not very strongly,27,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2014,community_belonging,Not at all strongly,4,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2017,community_belonging,Not very strongly,14,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2019,community_belonging,Not very strongly,20,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2015,community_belonging,Not very strongly,21,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2014,community_belonging,Very strongly,33,All,All,All,All,All,All,More than 10 minutes
Scotland,2019,community_belonging,Not at all strongly,7,All,All,All,All,All,All,More than 10 minutes
Scotland,2014,community_belonging,Not at all strongly,7,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2016,community_belonging,Not very strongly,15,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2016,community_belonging,Not very strongly,16,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2016,community_belonging,Fairly strongly,44,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2016,community_belonging,Very strongly,39,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2018,community_belonging,Not very strongly,6,All,All,All,All,All,All,More than 10 minutes
Dundee City,2016,community_belonging,Fairly strongly,48,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2016,community_belonging,Fairly strongly,27,All,All,All,All,All,All,More than 10 minutes
Dundee City,2016,community_belonging,Very strongly,30,All,All,All,All,All,All,More than 10 minutes
Scotland,2016,community_belonging,Don't know,1,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2016,community_belonging,Fairly strongly,51,All,All,All,All,All,All,More than 10 minutes
Scotland,2016,community_belonging,Very strongly,35,All,All,All,All,All,All,More than 10 minutes
Scotland,2018,community_belonging,Don't know,1,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2015,community_belonging,Not very strongly,17,All,All,All,All,All,All,More than 10 minutes
Falkirk,2018,community_belonging,Not very strongly,17,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2016,community_belonging,Very strongly,38,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2016,community_belonging,Very strongly,26,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2016,community_belonging,Very strongly,45,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2019,community_belonging,Fairly strongly,44,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2019,community_belonging,Fairly strongly,35,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2019,community_belonging,Fairly strongly,35,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2014,community_belonging,Fairly strongly,55,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2016,community_belonging,Fairly strongly,38,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2016,community_belonging,Fairly strongly,30,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2016,community_belonging,Very strongly,15,All,All,All,All,All,All,More than 10 minutes
Scotland,2019,community_belonging,Fairly strongly,39,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2013,community_belonging,Don't know,1,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2017,community_belonging,Fairly strongly,32,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2017,community_belonging,Fairly strongly,56,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2017,community_belonging,Fairly strongly,37,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2019,community_belonging,Fairly strongly,39,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2019,community_belonging,Fairly strongly,41,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2017,community_belonging,Fairly strongly,35,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2018,community_belonging,Fairly strongly,46,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2017,community_belonging,Fairly strongly,41,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2017,community_belonging,Fairly strongly,43,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2013,community_belonging,Fairly strongly,36,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2013,community_belonging,Fairly strongly,39,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2017,community_belonging,Fairly strongly,39,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2019,community_belonging,Fairly strongly,33,All,All,All,All,All,All,More than 10 minutes
West Lothian,2018,community_belonging,Fairly strongly,33,All,All,All,All,All,All,More than 10 minutes
Scotland,2018,community_belonging,Fairly strongly,38,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2016,community_belonging,Don't know,3,All,All,All,All,All,All,More than 10 minutes
Scotland,2016,community_belonging,Fairly strongly,40,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2015,community_belonging,Fairly strongly,45,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2016,community_belonging,Don't know,3,All,All,All,All,All,All,More than 10 minutes
Scotland,2019,community_belonging,Don't know,1,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2016,community_belonging,Don't know,1,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2017,community_belonging,Don't know,2,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2013,community_belonging,Don't know,1,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2017,community_belonging,Don't know,2,All,All,All,All,All,All,More than 10 minutes
Scotland,2014,community_belonging,Fairly strongly,43,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2017,community_belonging,Very strongly,37,All,All,All,All,All,All,More than 10 minutes
Scotland,2013,community_belonging,Don't know,1,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2017,community_belonging,Very strongly,31,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2017,community_belonging,Not at all strongly,9,All,All,All,All,All,All,More than 10 minutes
Falkirk,2017,community_belonging,Not very strongly,17,All,All,All,All,All,All,More than 10 minutes
East Renfrewshire,2017,community_belonging,Not very strongly,18,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2014,community_belonging,Very strongly,16,All,All,All,All,All,All,More than 10 minutes
Scotland,2015,community_belonging,Fairly strongly,42,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2019,community_belonging,Not at all strongly,9,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2019,community_belonging,Not at all strongly,17,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2019,community_belonging,Not at all strongly,10,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2019,community_belonging,Not at all strongly,6,All,All,All,All,All,All,More than 10 minutes
East Renfrewshire,2017,community_belonging,Very strongly,29,All,All,All,All,All,All,More than 10 minutes
Scotland,2016,community_belonging,Not at all strongly,8,All,All,All,All,All,All,More than 10 minutes
Scotland,2018,community_belonging,Not at all strongly,6,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2015,community_belonging,Not at all strongly,11,All,All,All,All,All,All,More than 10 minutes
Dundee City,2016,community_belonging,Not at all strongly,4,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2013,community_belonging,Not at all strongly,5,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2015,community_belonging,Not at all strongly,11,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2016,community_belonging,Not very strongly,17,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2016,community_belonging,Not at all strongly,8,All,All,All,All,All,All,More than 10 minutes
Scotland,2013,community_belonging,Not at all strongly,7,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2016,community_belonging,Not at all strongly,9,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2016,community_belonging,Not very strongly,15,All,All,All,All,All,All,More than 10 minutes
Scotland,2014,community_belonging,Very strongly,35,All,All,All,All,All,All,More than 10 minutes
Scotland,2017,community_belonging,Not very strongly,16,All,All,All,All,All,All,More than 10 minutes
Falkirk,2018,community_belonging,Fairly strongly,43,All,All,All,All,All,All,More than 10 minutes
Scotland,2015,community_belonging,Don't know,0,All,All,All,All,All,All,More than 10 minutes
Falkirk,2017,community_belonging,Very strongly,42,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2013,community_belonging,Don't know,5,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2019,community_belonging,Don't know,2,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2015,community_belonging,Don't know,1,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2016,community_belonging,Don't know,1,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2014,community_belonging,Very strongly,31,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2013,community_belonging,Don't know,1,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2017,community_belonging,Don't know,4,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2018,community_belonging,Don't know,6,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2019,community_belonging,Fairly strongly,36,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2018,community_belonging,Fairly strongly,36,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2019,community_belonging,Don't know,2,All,All,All,All,All,All,More than 10 minutes
Scotland,2014,community_belonging,Don't know,0,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2014,community_belonging,Fairly strongly,66,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2018,community_belonging,Not at all strongly,7,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2013,community_belonging,Not at all strongly,4,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2018,community_belonging,Don't know,3,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2014,community_belonging,Fairly strongly,30,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2019,community_belonging,Don't know,2,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2015,community_belonging,Fairly strongly,37,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2015,community_belonging,Fairly strongly,33,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2017,community_belonging,Very strongly,41,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2017,community_belonging,Very strongly,52,All,All,All,All,All,All,More than 10 minutes
Highland,2013,community_belonging,Not at all strongly,5,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2018,community_belonging,Not at all strongly,7,All,All,All,All,All,All,More than 10 minutes
Falkirk,2018,community_belonging,Very strongly,30,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2017,community_belonging,Not at all strongly,2,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2015,community_belonging,Very strongly,41,All,All,All,All,All,All,More than 10 minutes
Scotland,2017,community_belonging,Not at all strongly,7,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2013,community_belonging,Not very strongly,10,All,All,All,All,All,All,More than 10 minutes
West Lothian,2017,community_belonging,Don't know,6,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2013,community_belonging,Not very strongly,10,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2014,community_belonging,Don't know,0,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2014,community_belonging,Not at all strongly,2,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2013,community_belonging,Fairly strongly,41,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2015,community_belonging,Don't know,1,All,All,All,All,All,All,More than 10 minutes
Highland,2013,community_belonging,Not very strongly,17,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2017,community_belonging,Don't know,2,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2016,community_belonging,Not very strongly,12,All,All,All,All,All,All,More than 10 minutes
West Lothian,2017,community_belonging,Very strongly,36,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2015,community_belonging,Very strongly,28,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2017,community_belonging,Very strongly,18,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2014,community_belonging,Not very strongly,7,All,All,All,All,All,All,More than 10 minutes
Scotland,2013,community_belonging,Not very strongly,21,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2013,community_belonging,Very strongly,32,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2013,community_belonging,Not very strongly,25,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2013,community_belonging,Not very strongly,16,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2018,community_belonging,Not very strongly,17,All,All,All,All,All,All,More than 10 minutes
Scotland,2019,community_belonging,Not very strongly,20,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2018,community_belonging,Very strongly,58,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2017,community_belonging,Not very strongly,14,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2018,community_belonging,Not at all strongly,9,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2018,community_belonging,Fairly strongly,45,All,All,All,All,All,All,More than 10 minutes
East Renfrewshire,2017,community_belonging,Fairly strongly,51,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2015,community_belonging,Don't know,0,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2013,community_belonging,Not very strongly,21,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2018,community_belonging,Fairly strongly,31,All,All,All,All,All,All,More than 10 minutes
Falkirk,2017,community_belonging,Fairly strongly,41,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2014,community_belonging,Not at all strongly,5,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2014,community_belonging,Not very strongly,16,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2014,community_belonging,Not at all strongly,11,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2014,community_belonging,Not very strongly,12,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2018,community_belonging,Not at all strongly,5,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2016,community_belonging,Not very strongly,23,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2018,community_belonging,Not very strongly,18,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2018,community_belonging,Not very strongly,23,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2013,community_belonging,Not at all strongly,10,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2018,community_belonging,Not very strongly,16,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2014,community_belonging,Fairly strongly,45,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2017,community_belonging,Don't know,3,All,All,All,All,All,All,More than 10 minutes
West Lothian,2018,community_belonging,Not very strongly,13,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2015,community_belonging,Very strongly,53,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2013,community_belonging,Not very strongly,18,All,All,All,All,All,All,More than 10 minutes
Scotland,2013,community_belonging,Fairly strongly,36,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2014,community_belonging,Very strongly,44,All,All,All,All,All,All,More than 10 minutes
Scotland,2019,community_belonging,Very strongly,33,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2015,community_belonging,Not very strongly,25,All,All,All,All,All,All,More than 10 minutes
Scotland,2015,community_belonging,Not very strongly,19,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2017,community_belonging,Fairly strongly,34,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2017,community_belonging,Not at all strongly,9,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2016,community_belonging,Not at all strongly,7,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2017,community_belonging,Not very strongly,17,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2017,community_belonging,Very strongly,29,All,All,All,All,All,All,More than 10 minutes
Scotland,2015,community_belonging,Very strongly,31,All,All,All,All,All,All,More than 10 minutes
Scotland,2014,community_belonging,Not very strongly,15,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2014,community_belonging,Not very strongly,12,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2013,community_belonging,Not very strongly,26,All,All,All,All,All,All,More than 10 minutes
Scotland,2017,community_belonging,Don't know,2,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2018,community_belonging,Not at all strongly,10,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2014,community_belonging,Not very strongly,22,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2013,community_belonging,Not very strongly,29,All,All,All,All,All,All,More than 10 minutes
Dundee City,2017,community_belonging,Not at all strongly,8,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2018,community_belonging,Not very strongly,24,All,All,All,All,All,All,More than 10 minutes
Scotland,2018,community_belonging,Not very strongly,18,All,All,All,All,All,All,More than 10 minutes
Scotland,2017,community_belonging,Very strongly,33,All,All,All,All,All,All,More than 10 minutes
Dundee City,2017,community_belonging,Don't know,9,All,All,All,All,All,All,More than 10 minutes
Clackmannanshire,2016,community_belonging,Not at all strongly,2,All,All,All,All,All,All,Less than 10 minutes
Orkney Islands,2016,community_belonging,Not at all strongly,2,All,All,All,All,All,All,Less than 10 minutes
Midlothian,2014,community_belonging,Don't know,0,All,All,All,All,All,All,Less than 10 minutes
Na h-Eileanan Siar,2018,community_belonging,Fairly strongly,23,All,All,All,All,All,All,Less than 10 minutes
Falkirk,2016,community_belonging,Not at all strongly,10,All,All,All,All,All,All,Less than 10 minutes
West Dunbartonshire,2018,community_belonging,Very strongly,38,All,All,All,All,All,All,Less than 10 minutes
Perth and Kinross,2014,community_belonging,Don't know,1,All,All,All,All,All,All,Less than 10 minutes
Moray,2016,community_belonging,Not at all strongly,3,All,All,All,All,All,All,Less than 10 minutes
East Dunbartonshire,2018,community_belonging,Very strongly,45,All,All,All,All,All,All,Less than 10 minutes
East Dunbartonshire,2019,community_belonging,Fairly strongly,41,All,All,All,All,All,All,Less than 10 minutes
Falkirk,2018,community_belonging,Fairly strongly,47,All,All,All,All,All,All,Less than 10 minutes
Fife,2019,community_belonging,Not at all strongly,3,All,All,All,All,All,All,Less than 10 minutes
Midlothian,2015,community_belonging,Very strongly,39,All,All,All,All,All,All,Less than 10 minutes
East Ayrshire,2018,community_belonging,Fairly strongly,40,All,All,All,All,All,All,Less than 10 minutes
Moray,2018,community_belonging,Don't know,3,All,All,All,All,All,All,Less than 10 minutes
Na h-Eileanan Siar,2016,community_belonging,Not at all strongly,2,All,All,All,All,All,All,Less than 10 minutes
East Renfrewshire,2014,community_belonging,Don't know,0,All,All,All,All,All,All,Less than 10 minutes
Glasgow City,2019,community_belonging,Fairly strongly,45,All,All,All,All,All,All,Less than 10 minutes
Highland,2018,community_belonging,Fairly strongly,42,All,All,All,All,All,All,Less than 10 minutes
East Lothian,2016,community_belonging,Not at all strongly,2,All,All,All,All,All,All,Less than 10 minutes
