feature_name,date_code,measure,response,percent,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity,walking_distance_to_nearest_greenspace
North Lanarkshire,2019,neighbourhood_rating,Fairly good,47,All,All,All,All,All,All,More than 10 minutes
Scotland,2016,neighbourhood_rating,Fairly poor,6,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2013,neighbourhood_rating,Fairly poor,11,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2014,neighbourhood_rating,Fairly good,54,All,All,All,All,All,All,More than 10 minutes
Scotland,2019,neighbourhood_rating,Very good,54,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2013,neighbourhood_rating,Fairly poor,1,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2014,neighbourhood_rating,Fairly poor,9,All,All,All,All,All,All,More than 10 minutes
West Lothian,2018,neighbourhood_rating,Fairly good,47,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2018,neighbourhood_rating,No opinion,3,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2014,neighbourhood_rating,Fairly poor,5,All,All,All,All,All,All,More than 10 minutes
Scotland,2018,neighbourhood_rating,Fairly good,38,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2013,neighbourhood_rating,Fairly poor,3,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2016,neighbourhood_rating,Fairly poor,12,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2018,neighbourhood_rating,Fairly good,36,All,All,All,All,All,All,More than 10 minutes
Scotland,2019,neighbourhood_rating,Fairly poor,6,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2016,neighbourhood_rating,Fairly poor,4,All,All,All,All,All,All,More than 10 minutes
Dundee City,2016,neighbourhood_rating,Fairly good,50,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2013,neighbourhood_rating,Fairly good,31,All,All,All,All,All,All,More than 10 minutes
Scotland,2019,neighbourhood_rating,No opinion,0,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2016,neighbourhood_rating,Very good,49,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2015,neighbourhood_rating,Fairly good,10,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2019,neighbourhood_rating,Very poor,0,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2018,neighbourhood_rating,Very good,37,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2016,neighbourhood_rating,Fairly poor,4,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2014,neighbourhood_rating,Fairly poor,2,All,All,All,All,All,All,More than 10 minutes
Falkirk,2017,neighbourhood_rating,Fairly poor,8,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2019,neighbourhood_rating,Fairly good,43,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2015,neighbourhood_rating,Very good,42,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2014,neighbourhood_rating,Very good,43,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2017,neighbourhood_rating,No opinion,1,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2016,neighbourhood_rating,Very poor,1,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2018,neighbourhood_rating,Very poor,3,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2019,neighbourhood_rating,Very poor,1,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2019,neighbourhood_rating,Fairly good,54,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2016,neighbourhood_rating,Very good,46,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2014,neighbourhood_rating,Fairly poor,5,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2016,neighbourhood_rating,Fairly poor,7,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2018,neighbourhood_rating,Very good,49,All,All,All,All,All,All,More than 10 minutes
East Renfrewshire,2017,neighbourhood_rating,Very good,87,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2014,neighbourhood_rating,Very poor,6,All,All,All,All,All,All,More than 10 minutes
Scotland,2016,neighbourhood_rating,No opinion,0,All,All,All,All,All,All,More than 10 minutes
Scotland,2019,neighbourhood_rating,Very poor,2,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2016,neighbourhood_rating,Very good,49,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2016,neighbourhood_rating,Fairly poor,9,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2019,neighbourhood_rating,Very poor,1,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2013,neighbourhood_rating,Very good,48,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2016,neighbourhood_rating,Very poor,1,All,All,All,All,All,All,Less than 10 minutes
Shetland Islands,2018,neighbourhood_rating,Fairly poor,2,All,All,All,All,All,All,Less than 10 minutes
North Ayrshire,2015,neighbourhood_rating,Very poor,2,All,All,All,All,All,All,Less than 10 minutes
North Lanarkshire,2014,neighbourhood_rating,Very good,51,All,All,All,All,All,All,Less than 10 minutes
Dundee City,2019,neighbourhood_rating,Fairly poor,5,All,All,All,All,All,All,Less than 10 minutes
Highland,2016,neighbourhood_rating,Fairly good,30,All,All,All,All,All,All,Less than 10 minutes
East Dunbartonshire,2015,neighbourhood_rating,Fairly poor,2,All,All,All,All,All,All,Less than 10 minutes
East Lothian,2018,neighbourhood_rating,Fairly poor,2,All,All,All,All,All,All,Less than 10 minutes
North Lanarkshire,2015,neighbourhood_rating,Very good,51,All,All,All,All,All,All,Less than 10 minutes
Stirling,2017,neighbourhood_rating,Very poor,1,All,All,All,All,All,All,Less than 10 minutes
City of Edinburgh,2013,neighbourhood_rating,Fairly poor,5,All,All,All,All,All,All,Less than 10 minutes
Stirling,2018,neighbourhood_rating,Fairly good,33,All,All,All,All,All,All,Less than 10 minutes
Stirling,2018,neighbourhood_rating,Fairly poor,2,All,All,All,All,All,All,Less than 10 minutes
Angus,2019,neighbourhood_rating,Fairly poor,3,All,All,All,All,All,All,Less than 10 minutes
Fife,2019,neighbourhood_rating,Fairly good,35,All,All,All,All,All,All,Less than 10 minutes
City of Edinburgh,2019,neighbourhood_rating,Fairly poor,4,All,All,All,All,All,All,Less than 10 minutes
East Ayrshire,2019,neighbourhood_rating,Very poor,1,All,All,All,All,All,All,Less than 10 minutes
South Ayrshire,2018,neighbourhood_rating,Fairly poor,5,All,All,All,All,All,All,Less than 10 minutes
Renfrewshire,2018,neighbourhood_rating,Fairly good,32,All,All,All,All,All,All,Less than 10 minutes
East Lothian,2014,neighbourhood_rating,Fairly poor,2,All,All,All,All,All,All,Less than 10 minutes
Fife,2017,neighbourhood_rating,Very poor,2,All,All,All,All,All,All,Less than 10 minutes
Moray,2017,neighbourhood_rating,Very poor,1,All,All,All,All,All,All,Less than 10 minutes
City of Edinburgh,2016,neighbourhood_rating,Fairly poor,4,All,All,All,All,All,All,Less than 10 minutes
Angus,2019,neighbourhood_rating,Fairly good,36,All,All,All,All,All,All,Less than 10 minutes
Na h-Eileanan Siar,2018,neighbourhood_rating,Fairly poor,1,All,All,All,All,All,All,Less than 10 minutes
Clackmannanshire,2019,neighbourhood_rating,Very poor,3,All,All,All,All,All,All,Less than 10 minutes
Aberdeen City,2018,neighbourhood_rating,Fairly poor,4,All,All,All,All,All,All,Less than 10 minutes
West Dunbartonshire,2013,neighbourhood_rating,Fairly good,48,All,All,All,All,All,All,Less than 10 minutes
Midlothian,2013,neighbourhood_rating,Fairly poor,6,All,All,All,All,All,All,Less than 10 minutes
East Ayrshire,2019,neighbourhood_rating,Fairly good,35,All,All,All,All,All,All,Less than 10 minutes
Aberdeenshire,2014,neighbourhood_rating,Very poor,0,All,All,All,All,All,All,Less than 10 minutes
Dumfries and Galloway,2014,neighbourhood_rating,Very poor,0,All,All,All,All,All,All,Less than 10 minutes
East Dunbartonshire,2019,neighbourhood_rating,Fairly good,24,All,All,All,All,All,All,Less than 10 minutes
Angus,2015,neighbourhood_rating,Very poor,0,All,All,All,All,All,All,Less than 10 minutes
East Dunbartonshire,2016,neighbourhood_rating,Fairly poor,0,All,All,All,All,All,All,Less than 10 minutes
Perth and Kinross,2014,neighbourhood_rating,Very poor,0,All,All,All,All,All,All,Less than 10 minutes
Na h-Eileanan Siar,2017,neighbourhood_rating,Very good,84,All,All,All,All,All,All,Less than 10 minutes
