year,figure,breakdown,disaggregation,indicator,measure
2014,66.4,60 to 74,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,64.8,60 to 74,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,61.9,60 to 74,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,62.2,60 to 74,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,64.7,60 to 74,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,62.9,60 to 74,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,55.5,75 plus,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,55.8,75 plus,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,55.6,75 plus,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,58.6,75 plus,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,54.4,75 plus,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,54.6,75 plus,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,57.1,75 plus,Age,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,69.5,Does not have limiting long term health condition,Disability,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,70.4,Does not have limiting long term health condition,Disability,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,68.7,Does not have limiting long term health condition,Disability,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,66.7,Does not have limiting long term health condition,Disability,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,66.1,Does not have limiting long term health condition,Disability,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,67.1,Does not have limiting long term health condition,Disability,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,67,Does not have limiting long term health condition,Disability,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,60.7,Has limiting long term health condition,Disability,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,62.4,Has limiting long term health condition,Disability,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,62.2,Has limiting long term health condition,Disability,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,61.2,Has limiting long term health condition,Disability,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,59.8,Has limiting long term health condition,Disability,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,59.3,Has limiting long term health condition,Disability,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,61.1,Has limiting long term health condition,Disability,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,60.1,BME,Ethnicity,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,61.5,BME,Ethnicity,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,54.7,BME,Ethnicity,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,57.5,BME,Ethnicity,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,50,BME,Ethnicity,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,53.9,BME,Ethnicity,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,45.6,BME,Ethnicity,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,67.8,White,Ethnicity,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,68.7,White,Ethnicity,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,67.5,White,Ethnicity,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,65.6,White,Ethnicity,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,65.1,White,Ethnicity,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,65.6,White,Ethnicity,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,66.1,White,Ethnicity,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,"NA",Identified in another way,Gender,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,"NA",Identified in another way,Gender,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,69.1,Men,Gender,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,70.6,Men,Gender,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,69.2,Men,Gender,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,66.4,Men,Gender,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,66.1,Men,Gender,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,66.3,Men,Gender,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,66,Men,Gender,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,"NA",Refused,Gender,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,"NA",Refused,Gender,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,66.3,Women,Gender,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,66.8,Women,Gender,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,65.4,Women,Gender,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,64.4,Women,Gender,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,63.4,Women,Gender,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,64.4,Women,Gender,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,65.2,Women,Gender,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,64.4,Aberdeen city,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,74.5,Aberdeen city,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,59.3,Aberdeen city,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,61.5,Aberdeen city,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,56.7,Aberdeen City,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,57.9,Aberdeen City,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,52.1,Aberdeen City,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,67.6,Aberdeenshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,70.7,Aberdeenshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,72.4,Aberdeenshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,70.8,Aberdeenshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,65.4,Aberdeenshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,79.9,Aberdeenshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,63.1,Aberdeenshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,83.5,Angus,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,68.5,Angus,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,75.3,Angus,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,61.1,Angus,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,62.4,Angus,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,63.6,Angus,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,65.5,Angus,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,61.3,Argyll & Bute,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,74.1,Argyll & Bute,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,59.6,Argyll & Bute,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,70.2,Argyll and Bute,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,68.1,Argyll and Bute,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,63.4,Argyll and Bute,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,64.6,Argyll and Bute,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,67.3,City of Edinburgh,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,67.7,City of Edinburgh,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,64.9,City of Edinburgh,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,65.7,City of Edinburgh,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,70.8,Clackmannanshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,79.1,Clackmannanshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,67.9,Clackmannanshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,68.3,Clackmannanshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,78.9,Clackmannanshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,67.4,Clackmannanshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,78.1,Clackmannanshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,71.5,Dumfries & Galloway,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,83.8,Dumfries & Galloway,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,85,Dumfries & Galloway,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,88,Dumfries and Galloway,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,90.6,Dumfries and Galloway,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,85.5,Dumfries and Galloway,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,68.4,Dumfries and Galloway,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,70.9,Dundee City,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,52.8,Dundee City,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,58.5,Dundee City,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,50.5,Dundee City,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,51.1,Dundee City,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,50,Dundee City,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,47.6,Dundee City,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,67.7,East Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,78.5,East Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,74.2,East Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,72.3,East Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,73.4,East Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,70.5,East Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,65.7,East Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,55.9,East Dunbartonshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,67.4,East Dunbartonshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,75.4,East Dunbartonshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,62.3,East Dunbartonshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,66.6,East Dunbartonshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,65.4,East Dunbartonshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,64,East Dunbartonshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,86.4,East Lothian,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,80.9,East Lothian,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,84.5,East Lothian,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,83,East Lothian,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,82.3,East Lothian,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,85.5,East Lothian,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,84,East Lothian,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,59.4,East Renfrewshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,62.4,East Renfrewshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,64.5,East Renfrewshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,65.3,East Renfrewshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,53.3,East Renfrewshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,54.3,East Renfrewshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,54.2,East Renfrewshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,66,"Edinburgh, City of",Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,71.6,"Edinburgh, City of",Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,69.2,"Edinburgh, City of",Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,71.6,Falkirk,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,57.3,Falkirk,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,56.4,Falkirk,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,62,Falkirk,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,57.2,Falkirk,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,47.2,Falkirk,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,65.9,Falkirk,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,78.1,Fife,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,80.3,Fife,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,73.9,Fife,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,69.8,Fife,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,74.2,Fife,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,74.2,Fife,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,77.4,Fife,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,58.8,Glasgow City,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,59.4,Glasgow City,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,54.7,Glasgow City,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,55,Glasgow City,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,55.8,Glasgow City,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,50.7,Glasgow City,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,55.1,Glasgow City,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,59.3,Highland,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,70.9,Highland,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,81.4,Highland,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,76.1,Highland,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,78.4,Highland,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,73.9,Highland,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,68.7,Highland,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,57.2,Inverclyde,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,56.5,Inverclyde,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,60.2,Inverclyde,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,68,Inverclyde,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,58.1,Inverclyde,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,58,Inverclyde,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,51.1,Inverclyde,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,77.5,Midlothian,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,74.4,Midlothian,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,77.2,Midlothian,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,76.4,Midlothian,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,78.4,Midlothian,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,78.5,Midlothian,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,77.9,Midlothian,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,72.4,Moray,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,66.6,Moray,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,79.8,Moray,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,75.1,Moray,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,79.8,Moray,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,73.1,Moray,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,75.8,Moray,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,73.6,Na h-Eileanan Siar,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,76.3,Na h-Eileanan Siar,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,74.4,Na h-Eileanan Siar,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,76.1,Na h-Eileanan Siar,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,62.8,Na h-Eileanan Siar,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,81.6,Na h-Eileanan Siar,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,82.6,Na h-Eileanan Siar,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,53.6,North Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,71.8,North Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,68.4,North Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,63.2,North Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,63.3,North Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,57.1,North Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,64.9,North Ayrshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,60.1,North Lanarkshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,57.7,North Lanarkshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,64.4,North Lanarkshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,64.7,North Lanarkshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,57.6,North Lanarkshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,61.7,North Lanarkshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,60.7,North Lanarkshire,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,89.3,Orkney Islands,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,86.1,Orkney Islands,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,53,Orkney Islands,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,74,Orkney Islands,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,69,Orkney Islands,Local authority,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
