feature_name,date_code,measure,response,percent,gender,urban_rural_classification,simd_quintiles,type_of_tenure,household_type,ethnicity,walking_distance_to_nearest_greenspace
South Lanarkshire,2013,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,93,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2014,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,94,All,All,All,All,All,All,More than 10 minutes
Falkirk,2018,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,76,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2019,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,65,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2014,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,87,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2017,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,81,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,75,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2018,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,72,All,All,All,All,All,All,More than 10 minutes
Falkirk,2018,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,86,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2018,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,73,All,All,All,All,All,All,More than 10 minutes
Scotland,2017,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,78,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,80,All,All,All,All,All,All,More than 10 minutes
Dundee City,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,62,All,All,All,All,All,All,More than 10 minutes
Scotland,2015,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,86,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2014,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,84,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2013,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,96,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2019,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,90,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2019,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,64,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,88,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2018,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,84,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2019,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,79,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2018,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,66,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2015,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,85,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2016,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,89,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2013,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,90,All,All,All,All,All,All,More than 10 minutes
Scotland,2014,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,86,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2018,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,81,All,All,All,All,All,All,More than 10 minutes
West Lothian,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,65,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,78,All,All,All,All,All,All,More than 10 minutes
Scotland,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,84,All,All,All,All,All,All,More than 10 minutes
Scotland,2016,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,88,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2019,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,74,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2013,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,96,All,All,All,All,All,All,More than 10 minutes
Scotland,2015,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,87,All,All,All,All,All,All,More than 10 minutes
Scotland,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,85,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2015,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,81,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2015,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,96,All,All,All,All,All,All,More than 10 minutes
West Lothian,2018,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,68,All,All,All,All,All,All,More than 10 minutes
Scotland,2014,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,84,All,All,All,All,All,All,More than 10 minutes
Scotland,2013,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,89,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2016,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,91,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2014,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,98,All,All,All,All,All,All,More than 10 minutes
Scotland,2013,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,83,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2018,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,81,All,All,All,All,All,All,More than 10 minutes
West Lothian,2018,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,69,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2018,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,74,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2019,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,96,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2014,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,87,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2019,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,87,All,All,All,All,All,All,More than 10 minutes
Scotland,2018,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,81,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2016,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,82,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2018,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,86,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2017,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,61,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2013,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,91,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2019,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,64,All,All,All,All,All,All,More than 10 minutes
Scotland,2013,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,87,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2013,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,97,All,All,All,All,All,All,More than 10 minutes
Scotland,2014,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,87,All,All,All,All,All,All,More than 10 minutes
Scotland,2019,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,82,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2018,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,98,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2018,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,83,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2016,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,97,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2018,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,84,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2018,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,95,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2016,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,79,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2017,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,93,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2013,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,92,All,All,All,All,All,All,More than 10 minutes
Scotland,2016,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,88,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2017,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,82,All,All,All,All,All,All,More than 10 minutes
South Lanarkshire,2014,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,95,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2017,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,84,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2016,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,89,All,All,All,All,All,All,More than 10 minutes
Scotland,2018,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,72,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2014,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,84,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2018,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,94,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2018,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,94,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2013,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,99,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2019,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,85,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2019,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,71,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2017,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,96,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2016,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,93,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,98,All,All,All,All,All,All,More than 10 minutes
Dundee City,2016,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,85,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,83,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2016,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,90,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2018,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,79,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2016,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,94,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2017,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,89,All,All,All,All,All,All,More than 10 minutes
Scotland,2014,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,91,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2013,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,91,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2013,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,98,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2016,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,95,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2014,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,85,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2018,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,92,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2013,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,77,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2013,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,75,All,All,All,All,All,All,More than 10 minutes
Highland,2013,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,88,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2015,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,73,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2015,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,94,All,All,All,All,All,All,More than 10 minutes
Aberdeenshire,2019,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,88,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2014,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,91,All,All,All,All,All,All,More than 10 minutes
Falkirk,2018,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,80,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2019,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,82,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2013,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,91,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2017,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,83,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2016,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,97,All,All,All,All,All,All,More than 10 minutes
North Lanarkshire,2019,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,79,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2016,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,92,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2016,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,84,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2014,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,87,All,All,All,All,All,All,More than 10 minutes
Highland,2013,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,90,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2013,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,90,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2015,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,94,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,87,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2019,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,91,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2013,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,82,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2017,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,78,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2013,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,86,All,All,All,All,All,All,More than 10 minutes
East Renfrewshire,2017,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,87,All,All,All,All,All,All,More than 10 minutes
Falkirk,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,90,All,All,All,All,All,All,More than 10 minutes
Falkirk,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,63,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2013,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,86,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2018,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,88,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,84,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2013,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,93,All,All,All,All,All,All,More than 10 minutes
Scotland,2018,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,86,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2014,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,86,All,All,All,All,All,All,More than 10 minutes
Scotland,2019,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,88,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,84,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2013,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,72,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2015,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,89,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2013,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,93,All,All,All,All,All,All,More than 10 minutes
East Renfrewshire,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,97,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2016,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,79,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2019,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,72,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2015,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,77,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2017,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,87,All,All,All,All,All,All,More than 10 minutes
Scotland,2015,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,91,All,All,All,All,All,All,More than 10 minutes
Scotland,2017,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,86,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2016,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,83,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2019,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,72,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2019,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,72,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2017,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,79,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,80,All,All,All,All,All,All,More than 10 minutes
Scotland,2013,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,91,All,All,All,All,All,All,More than 10 minutes
Dundee City,2016,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,84,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2016,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,77,All,All,All,All,All,All,More than 10 minutes
Aberdeen City,2013,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,70,All,All,All,All,All,All,More than 10 minutes
West Lothian,2018,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,67,All,All,All,All,All,All,More than 10 minutes
Scotland,2016,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,92,All,All,All,All,All,All,More than 10 minutes
Dundee City,2017,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,71,All,All,All,All,All,All,More than 10 minutes
Inverclyde,2014,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to help me,88,All,All,All,All,All,All,More than 10 minutes
Highland,2013,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,86,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2015,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,91,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2013,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,83,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2016,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,80,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2017,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,66,All,All,All,All,All,All,More than 10 minutes
Orkney Islands,2015,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,92,All,All,All,All,All,All,More than 10 minutes
Falkirk,2017,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,68,All,All,All,All,All,All,More than 10 minutes
Dundee City,2016,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,84,All,All,All,All,All,All,More than 10 minutes
Dundee City,2017,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,60,All,All,All,All,All,All,More than 10 minutes
West Dunbartonshire,2016,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,74,All,All,All,All,All,All,More than 10 minutes
City of Edinburgh,2017,involvement_with_people_in_the_neighbourhood,I can turn to people in this neighbourhood for advice or support,78,All,All,All,All,All,All,More than 10 minutes
West Lothian,2017,involvement_with_people_in_the_neighbourhood,I would offer help to neighbours in an emergency,93,All,All,All,All,All,All,More than 10 minutes
Glasgow City,2015,involvement_with_people_in_the_neighbourhood,I can rely on people in this neighbourhood to look after my home when away,79,All,All,All,All,All,All,More than 10 minutes
